"전철역코드","외부코드","전철역명","호선","정류장명","정류장ID","X좌표","Y좌표"
"2611","610","응암","6","응암역신사오거리","12131","192494","455473"
"1458","443","금정","4","산본1동","40064","194907","430476"
"0226","226","사당","2","사당역","22241","198416","442143"
"0433","433","사당","4","사당역","22241","198416","442143"
"1951","317","원당","3","원당전철역","35071","186178","461458"
"1951","317","원당","3","원당전철역","35070","186222","461491"
"0242","242","아현","2","굴레방다리","14215","196242","450853"
"2534","533","광화문","5","세종문화회관","01272","197910","452557"
"0205","205","동대문역사문화공원","2","동대문운동장","02235","200805","451768"
"0422","422","동대문역사문화공원","4","동대문운동장","02235","200805","451768"
"0208","208","왕십리","2","성동구청","04719","203168","451500"
"2541","540","왕십리","5","성동구청","04719","203168","451500"
"1013","K116","왕십리","K","성동구청","04719","203168","451500"
"0208","208","왕십리","2","성동구청","04720","203207","451499"
"2541","540","왕십리","5","성동구청","04720","203207","451499"
"1013","K116","왕십리","K","성동구청","04720","203207","451499"
"0250","211-3","용두","2","동대문구청","06765","203351","452795"
"0250","211-3","용두","2","동대문구청","06766","203389","452873"
"2641","640","고려대","6","고려대역","06761","203245","454342"
"2641","640","고려대","6","고려대역","06762","203253","454419"
"2734","732","논현","7","영동사거리","22190","201741","445666"
"4121","921","구반포","9","반포본동앞","22187","199043","444686"
"2539","538","신금호","5","대경중입구","04144","201755","450749"
"0332","342","양재","3","양재역","22003","203176","442574"
"1901","115","방학","1","방학역","10668","203827","463326"
"0417","417","길음","4","길음시장","08245","202083","455941"
"0419","419","한성대입구","4","삼선교한성대학교","08010","200740","454421"
"4112","912","선유도","9","한신아파트앞","19210","190460","448831"
"0339","349","수서","3","수서역현대벤쳐빌","23401","209042","443144"
"1030","K221","수서","B","수서역현대벤쳐빌","23401","209042","443144"
"2534","533","광화문","5","광화문광화문빌딩","01129","197929","452218"
"2750","748","광명사거리","7","광명사거리역","38609","187238","442166"
"0419","419","한성대입구","4","삼선교성북문화원","08236","200472","454368"
"0318","328","안국","3","종로경찰서(윤보선대통령가옥)","01131","198594","452945"
"2721","719","중화","7","중화역입구대원사약국","07395","206852","455801"
"2626","625","대흥","6","대흥역","14174","194787","449850"
"4122","922","신반포","9","반포2동주민센터","22363","199765","444951"
"2616","615","구산","6","예일여고","12206","192663","456806"
"2711","709","장암","7","장암역","61052","204853","466744"
"2645","644","석계","6","물류센타","11476","205653","457501"
"0410","410","상계","4","상계벽산아파트","11240","206479","462400"
"2723","721","면목","7","면목본동주민센터","07172","207787","454141"
"0411","411","노원","4","노원역9번출구","11210","205469","461836"
"2715","713","노원","7","노원역9번출구","11210","205469","461836"
"0417","417","길음","4","돈암1동주민센터","08125","202347","456029"
"1002","134","남영","1","남영역","03131","197409","449032"
"0417","417","길음","4","길음역","08124","202109","455837"
"2814","813","몽촌토성","8","몽촌토성역","24127","209993","446557"
"0417","417","길음","4","돈암1동주민센터","08126","202356","456114"
"1950","318","삼송","3","삼송동전철역","35103","190628","461518"
"0310","320","구파발","3","구파발삼거리","12115","192780","459814"
"0226","226","사당","2","사당역","21161","198352","441796"
"0433","433","사당","4","사당역","21161","198352","441796"
"4109","909","등촌","9","SC제일은행강서도서관","15128","187978","450033"
"2647","646","화랑대","6","화랑대역1번출구","11118","207353","457806"
"2530","529","공덕","5","공덕오거리","14149","195828","449309"
"2627","626","공덕","6","공덕오거리","14149","195828","449309"
"2530","529","공덕","5","공덕역","14153","195709","449336"
"2627","626","공덕","6","공덕역","14153","195709","449336"
"2628","627","효창공원앞","6","중앙하이츠빌라앞","03245","196461","448730"
"2628","627","효창공원앞","6","중앙하이츠빌라앞","03246","196463","448711"
"1019","119","광운대","1","성북역","11278","205439","458117"
"2648","647","봉화산","6","신내6단지","07286","208094","457412"
"0213","213","구의","2","동부지방법원앞","05149","207775","448697"
"0205","205","동대문역사문화공원","2","동대문운동장","02173","200739","451984"
"0422","422","동대문역사문화공원","4","동대문운동장","02173","200739","451984"
"2647","646","화랑대","6","지하철6호선화랑대역","07294","207607","457792"
"2817","816","송파","8","송파역","24008","209835","444582"
"0235","235","문래","2","문래역홈플러스","19669","190747","446679"
"2718","716","공릉","7","공릉역","11120","206550","458486"
"0411","411","노원","4","노원역1번출구","11211","205599","461842"
"2715","713","노원","7","노원역1번출구","11211","205599","461842"
"1709","P150","군포","1","군포1동사무소","40006","195268","428309"
"0431","431","동작","4","국립현충원","20134","197936","444864"
"4120","920","동작","9","국립현충원","20134","197936","444864"
"0429","429","신용산","4","신용산역","03254","197123","447790"
"1906","110","의정부","1","의정부동부역흥선지하도","61010","204168","471105"
"1015","123","회기","1","시조사삼거리","06013","205039","454347"
"1200","K118","회기","K","시조사삼거리","06013","205039","454347"
"2729","727","건대입구","7","건대입구역","05697","206354","449204"
"2545","544","군자","5","군자역","05700","206968","450767"
"2727","725","군자","7","군자역","05700","206968","450767"
"2543","542","답십리","5","동부시장앞","06158","204640","451975"
"0419","419","한성대입구","4","한성대입구","08239","200639","454397"
"2557","P551","방이","5","방이동대림아파트","24229","210984","445536"
"1006","139","영등포","1","영등포역","19006","191783","446355"
"2521","520","목동","5","진명여고","15258","188077","447175"
"2521","520","목동","5","진명여고","15270","188031","447239"
"0250","211-3","용두","2","동대문구청","06006","203386","452729"
"0243","243","충정로","2","충정로역5호선","13238","196831","451361"
"2532","531","충정로","5","충정로역5호선","13238","196831","451361"
"1017","121","신이문","1","쌍용아파트","06358","206040","455756"
"1701","141","구로","1","구로역","17155","189581","445054"
"2717","715","하계","7","하계우성아파트","11454","205897","459522"
"0208","208","왕십리","2","왕십리역","04133","203199","451163"
"2541","540","왕십리","5","왕십리역","04133","203199","451163"
"1013","K116","왕십리","K","왕십리역","04133","203199","451163"
"0327","337","신사","3","신사역사거리","22185","201730","446177"
"0237","237","당산","2","당산역","19172","191204","448368"
"4113","913","당산","9","당산역","19172","191204","448368"
"0411","411","노원","4","와우패션클럽","11213","205636","461735"
"2715","713","노원","7","와우패션클럽","11213","205636","461735"
"2516","515","발산","5","원당사거리발산역","16111","185829","451023"
"2818","817","가락시장","8","가락시장가락시장역","24010","210301","443932"
"2731","729","청담","7","경기고","23187","204999","446703"
"2731","729","청담","7","진흥아파트청담역","23186","204628","446617"
"1458","443","금정","4","금정역","40060","194890","430248"
"1708","P149","금정","1","금정역","40060","194890","430248"
"0414","414","수유","4","수유역강북웨딩홀","09248","202378","459937"
"0203","203","을지로3가","2","청계2가수표교","01175","199178","452105"
"0320","330","을지로3가","3","청계2가수표교","01175","199178","452105"
"0152","131","종각","1","청계1가광교","02224","198554","452107"
"2633","632","버티고개","6","버티고개","02237","200515","449781"
"2643","642","상월곡","6","월곡중학교","08138","204225","456300"
"0245","211-2","신답","2","태양극동아파트","06326","203987","452588"
"1004","136","노량진","1","노량진역","20601","194779","445994"
"4117","917","노량진","9","노량진역","20601","194779","445994"
"0321","331","충무로","3","초동","02155","199392","451539"
"0423","423","충무로","4","초동","02155","199392","451539"
"0317","327","경복궁","3","경복궁역","01116","197568","453077"
"0213","213","구의","2","동부지방법원앞","05199","207802","448677"
"2511","510","방화","5","방화3동주민센터","16312","183532","453251"
"0223","223","교대","2","지하철2호선교대역2","22103","201347","443833"
"0330","340","교대","3","지하철2호선교대역2","22103","201347","443833"
"2612","611","역촌","6","하나은행역촌역지점","12258","193119","456182"
"2612","611","역촌","6","하나은행역촌역지점","12245","193120","456073"
"1017","121","신이문","1","쌍용아파트","06359","206057","455753"
"0239","239","홍대입구","2","서교호텔","14284","193116","450598"
"0332","342","양재","3","양재역","22290","203143","442666"
"2621","620","마포구청","6","월드컵경기장입구","14816","191428","451486"
"0245","211-2","신답","2","신답역앞","06159","204160","452372"
"2717","715","하계","7","하계미성아파트","11417","206087","459477"
"2511","510","방화","5","방화3동주민센터국립국어원","16132","183528","453303"
"2748","746","가산디지털단지","7","가산디지털단지역","18107","189487","442480"
"1702","P142","가산디지털단지","1","가산디지털단지역","18107","189487","442480"
"4103","903","공항시장","9","송정역","16117","183129","451372"
"1822","149","중동","1","부천여고","46087","179088","443229"
"2511","510","방화","5","방화전철역","16130","183449","453038"
"2749","747","철산","7","철산역","38107","188346","441844"
"2647","646","화랑대","6","이수아파트앞시장입구","07369","207353","457635"
"2647","646","화랑대","6","이수아파트앞시장입구","07370","207352","457627"
"0429","429","신용산","4","신용산역","03003","197013","447534"
"0427","427","숙대입구","4","남영우체국","03208","197636","449517"
"2720","718","먹골","7","묵2동주민센터","07386","206735","456718"
"1821","145","온수","1","온수동종점","17289","184199","443586"
"2752","750","온수","7","온수동종점","17289","184199","443586"
"0209","209","한양대","2","한양대정문앞","04130","203828","450811"
"2616","615","구산","6","예일여고사거리","12205","192691","456955"
"2616","615","구산","6","예일여고사거리","12182","192722","456905"
"2616","615","구산","6","예일여고","12181","192665","456715"
"2512","511","개화산","5","개화산전철역","16287","182872","452566"
"2512","511","개화산","5","개화산전철역","16288","182872","452593"
"2512","511","개화산","5","방화도시개발11단지","16166","182727","452371"
"0225","225","방배","2","방림시장","22229","199695","442673"
"0225","225","방배","2","방림시장","22232","199661","442673"
"2518","517","화곡","5","현대주유소","16206","185961","449066"
"1904","112","망월사","1","장수원","61044","204237","467570"
"2639","638","보문","6","보문역","08180","201767","453887"
"2648","647","봉화산","6","신내우체국","07288","207947","457450"
"0311","321","연신내","3","연서시장","12202","193162","457785"
"2615","614","연신내","6","연서시장","12202","193162","457785"
"2644","643","돌곶이","6","장위2동주민센터","08208","204923","456961"
"0427","427","숙대입구","4","숙대입구","03129","197373","449550"
"0427","427","숙대입구","4","숙대입구역","03128","197419","449546"
"1002","134","남영","1","용산경찰서","03140","197267","448949"
"2716","714","중계","7","중계시영2단지","11376","205789","460684"
"2534","533","광화문","5","광화문","01120","197914","452262"
"2542","541","마장","5","마장동주민센터","04116","203938","451981"
"2825","824","신흥","8","성호시장입구","49017","212831","437761"
"2751","749","천왕","7","천왕역","17201","185768","442980"
"0409","409","당고개","4","흥안운수종점","11224","207139","463353"
"2642","641","월곡","6","월곡역","08132","203672","455787"
"1032","138","신길","1","신길역","19279","192477","446555"
"2526","525","신길","5","신길역","19279","192477","446555"
"2528","527","여의나루","5","여의나루역","19140","193992","447552"
"0237","237","당산","2","당산동삼성래미안아파트","19174","191462","448174"
"4113","913","당산","9","당산동삼성래미안아파트","19174","191462","448174"
"0415","415","미아","4","미아역신일중고","09007","202353","458367"
"1861","K234","보정","B","휴먼센터","59029","209662","424127"
"1861","K234","보정","B","보정역","59030","209628","424080"
"2511","510","방화","5","방화도시7단지국립국어원","16133","183504","453300"
"0410","410","상계","4","상계역","11393","206451","462212"
"0410","410","상계","4","상계역","11233","206353","462292"
"2628","627","효창공원앞","6","효창공원앞역","03180","196625","448835"
"2628","627","효창공원앞","6","효창동주민센터","03241","196635","449090"
"1019","119","광운대","1","월계삼거리","11286","205298","458125"
"2813","812","강동구청","8","성내주유소","25216","210790","448170"
"2813","812","강동구청","8","성내주유소","25217","210788","448153"
"0235","235","문래","2","문래자이아파트","19305","190689","446374"
"0212","212","건대입구","2","건대입구역사거리","05263","206316","449185"
"2729","727","건대입구","7","건대입구역사거리","05263","206316","449185"
"2618","617","증산","6","연서중학교입구","12423","192207","454076"
"2560","P554","거여","5","거여역6번출구","24404","212743","443613"
"2626","625","대흥","6","서강대학교후문","14212","195033","450084"
"2743","741","신대방삼거리","7","신대방삼거리","20186","193620","444266"
"2743","741","신대방삼거리","7","신대방삼거리","20187","193655","444307"
"0158","124","청량리","1","성바오로병원앞","06216","203817","453229"
"0338","348","일원","3","일원본동주민센터","23381","207496","442681"
"0417","417","길음","4","돈암동삼성아파트입구","08123","202170","455815"
"0338","348","일원","3","일원본동주민센터","23384","207604","442669"
"4108","908","증미","9","강서소방서이마트","16256","187784","450870"
"1905","111","회룡","1","회룡역","61029","204252","469247"
"1905","111","회룡","1","회룡역","61032","204219","469263"
"2711","709","장암","7","장암역","61053","204825","466753"
"0214","214","강변","2","낙지나라","05159","208145","448435"
"0240","240","신촌","2","신촌로터리","14169","194459","450452"
"2626","625","대흥","6","대흥역","14175","194962","449786"
"0240","240","신촌","2","신촌로터리","14168","194424","450482"
"0241","241","이대","2","대흥교회","14210","195208","450510"
"2747","745","남구로","7","구로4동주민센터","17134","189888","442973"
"2517","516","우장산","5","양서1단지화곡제2단지","16364","185660","449834"
"0158","124","청량리","1","청량리역환승센타","06015","204014","453434"
"0248","234-2","양천구청","2","양천구청역","15192","188012","445877"
"2632","631","한강진","6","한강진역","03196","200148","449050"
"1454","439","정부과천청사","4","정부과천청사","37018","199133","436321"
"2533","532","서대문","5","서대문경찰서","02113","197155","451712"
"1804","148","부천","1","부천역국민은행앞","46008","180696","442991"
"1902","114","도봉","1","도봉역","10156","204105","464521"
"1020","118","월계","1","월계역","11328","205232","459374"
"0226","226","사당","2","사당역","22242","198423","441675"
"0433","433","사당","4","사당역","22242","198423","441675"
"0331","341","남부터미널","3","국제전자센터","22368","201576","442858"
"2560","P554","거여","5","거여역종점","24277","212842","443750"
"0154","129","종로5가","1","청계5가방산시장","02227","200061","452182"
"0204","204","을지로4가","2","을지로5가","02165","199936","451924"
"2536","535","을지로4가","5","을지로5가","02165","199936","451924"
"2617","616","새절","6","새절역","12746","192409","454686"
"2813","812","강동구청","8","토성오거리","24393","210535","448091"
"2816","815","석촌","8","석촌호수","24003","209357","445269"
"0219","219","삼성","2","삼성역","23244","205608","445365"
"2618","617","증산","6","증산역","12748","191997","453815"
"2619","618","디지털미디어시티","6","수색전철역","12749","191220","453307"
"0314","324","홍제","3","홍제역","13779","195029","454370"
"0314","324","홍제","3","홍제역","13780","195091","454360"
"0315","325","무악재","3","무악재역","13781","195574","453693"
"0315","325","무악재","3","무악재역","13782","195615","453692"
"2621","620","마포구청","6","월드컵경기장입구","14815","191415","451440"
"2612","611","역촌","6","역촌역","12741","193240","456366"
"0312","322","불광","3","불광역","12740","193902","456671"
"2613","612","불광","6","불광역","12740","193902","456671"
"0311","321","연신내","3","연신내역","12737","193149","457600"
"2615","614","연신내","6","연신내역","12737","193149","457600"
"0311","321","연신내","3","연신내역","12738","193130","457559"
"2615","614","연신내","6","연신내역","12738","193130","457559"
"2612","611","역촌","6","역촌역","12742","193109","456162"
"2611","610","응암","6","응암역","12743","192509","455353"
"2611","610","응암","6","응암역","12744","192549","455377"
"2617","616","새절","6","새절역","12745","192355","454627"
"0427","427","숙대입구","4","갈월동4호선숙대입구","03327","197491","449644"
"2534","533","광화문","5","세종문화회관","01126","197926","452484"
"0241","241","이대","2","이대역","14213","195365","450796"
"2617","616","새절","6","신사초등학교","12161","192305","454874"
"2617","616","새절","6","신사초등학교","12158","192366","454850"
"1751","444","산본","4","1단지앞","40102","194355","428631"
"2819","818","문정","8","문정로데오거리입구","24011","210733","443226"
"2820","819","장지","8","장지역","24016","211098","442281"
"2820","819","장지","8","장지역","24015","211154","442192"
"0335","345","대치","3","대치역","23226","205438","443830"
"0214","214","강변","2","동서울호텔앞","05160","208129","448348"
"0337","347","대청","3","중동고등학교","23463","207084","443709"
"2819","818","문정","8","문정동제일은행앞","24330","210975","442988"
"2819","818","문정","8","문정동제일은행","24331","210977","442967"
"2517","516","우장산","5","화곡중고등학교","16211","185521","449758"
"2517","516","우장산","5","화곡중고등학교","16212","185553","449781"
"2517","516","우장산","5","우장산전철역","16214","185521","450049"
"2517","516","우장산","5","우장산전철역","16213","185555","449987"
"2516","515","발산","5","우장산현대타운","16218","185643","450823"
"0208","208","왕십리","2","왕십리역","04134","203193","451223"
"2541","540","왕십리","5","왕십리역","04134","203193","451223"
"1013","K116","왕십리","K","왕십리역","04134","203193","451223"
"2527","526","여의도","5","여의도역","19156","193346","446895"
"4115","915","여의도","9","여의도역","19156","193346","446895"
"0237","237","당산","2","당산역","19178","191288","448166"
"4113","913","당산","9","당산역","19178","191288","448166"
"0216","216","잠실","2","잠실역","24002","208802","446031"
"2817","816","송파","8","송파역","24203","209984","444437"
"1458","443","금정","4","산본1동","40065","194877","430469"
"1458","443","금정","4","금정역","40070","194882","430273"
"1708","P149","금정","1","금정역","40070","194882","430273"
"2824","823","단대오거리","8","구종점","48005","213726","438353"
"0158","124","청량리","1","성바오로병원앞","06217","203842","453175"
"2616","615","구산","6","예일여고","12151","192747","456798"
"2520","519","신정","5","신정역은행정역","15287","187128","447278"
"2721","719","중화","7","지하철7호선중화역","07254","206894","455770"
"2721","719","중화","7","지하철7호선중화역","07253","206985","455794"
"0417","417","길음","4","미아시장","08248","202301","456182"
"2749","747","철산","7","은행앞","38119","188491","441901"
"2749","747","철산","7","광명사회체육센터","38118","188517","441960"
"2827","826","모란","8","모란역","49001","211452","436971"
"1853","K225","모란","B","모란역","49001","211452","436971"
"1852","K224","태평","B","태평역수정경찰서앞","48018","211271","437940"
"2614","613","독바위","6","수양탕앞","12290","194051","457712"
"2614","613","독바위","6","수양탕앞","12283","194069","457706"
"2816","815","석촌","8","석촌역","24006","209590","444922"
"1705","P146","관악","1","관악역","57055","191967","435623"
"2621","620","마포구청","6","마포구청역","14195","191364","451422"
"1450","435","선바위","4","선바위역","37023","200071","439101"
"2559","P553","개롱","5","오금공원앞","24250","211770","444424"
"1455","440","인덕원","4","인덕원사거리인덕원역","56044","197926","433471"
"2638","637","창신","6","숭인1동주민센터","01239","201374","453251"
"1019","119","광운대","1","월계삼거리","11336","205293","458157"
"0340","350","가락시장","3","경찰병원","24379","210813","443909"
"0341","351","경찰병원","3","경찰병원","24379","210813","443909"
"0340","350","가락시장","3","경찰병원","24382","210812","443865"
"0341","351","경찰병원","3","경찰병원","24382","210812","443865"
"1855","K228","서현","B","이매촌한신","47056","210998","432121"
"2818","817","가락시장","8","가락시장가락시장역","24009","210360","443892"
"0203","203","을지로3가","2","을지로2가","02159","199036","451835"
"0320","330","을지로3가","3","을지로2가","02159","199036","451835"
"0203","203","을지로3가","2","을지로3가","02160","199151","451874"
"0320","330","을지로3가","3","을지로3가","02160","199151","451874"
"1018","120","석계","1","석계역","11821","205706","457318"
"2645","644","석계","6","석계역","11821","205706","457318"
"0240","240","신촌","2","신촌로터리","14204","194244","450507"
"2737","735","내방","7","방배보건분소","22230","199505","443042"
"0238","238","합정","2","합정역","14120","192457","449928"
"2623","622","합정","6","합정역","14120","192457","449928"
"0238","238","합정","2","합정역","14245","192277","450144"
"2623","622","합정","6","합정역","14245","192277","450144"
"2622","621","망원","6","기업은행서교동지점(최규하대통령가옥)","14248","192179","450593"
"2622","621","망원","6","기업은행서교동지점(최규하대통령가옥)","14249","192128","450603"
"2622","621","망원","6","성산시장입구","14251","191956","450905"
"2622","621","망원","6","성산시장입구","14250","191919","450897"
"2561","P555","마천","5","송파상운종점","24286","213461","443795"
"2817","816","송파","8","송파역","24191","209816","444580"
"0216","216","잠실","2","잠실역","24137","208735","446111"
"2621","620","마포구청","6","마포구청마포장애인복지관","14102","191327","451717"
"2621","620","마포구청","6","마포구청성산자동차검사소","14101","191378","451716"
"0232","232","구로디지털단지","2","구로디지털단지역","17229","191303","442683"
"2618","617","증산","6","증산역증산동주민센터","12174","192024","453800"
"0159","127","동묘앞","1","동대문","01234","201322","452568"
"2637","636","동묘앞","6","동대문","01234","201322","452568"
"0239","239","홍대입구","2","홍대입구역","14224","193255","450834"
"2747","745","남구로","7","구로종합사회복지관","17119","190193","443159"
"0342","352","오금","3","송파경찰서","24341","211229","444559"
"2558","P552","오금","5","송파경찰서","24341","211229","444559"
"0339","349","수서","3","수서역","23410","209098","443117"
"1030","K221","수서","B","수서역","23410","209098","443117"
"0339","349","수서","3","수서역","23409","209063","443058"
"1030","K221","수서","B","수서역","23409","209063","443058"
"2527","526","여의도","5","여의도역","19155","193340","446814"
"4115","915","여의도","9","여의도역","19155","193340","446814"
"0238","238","합정","2","양화진성지공원입구","14216","192235","449898"
"2623","622","합정","6","양화진성지공원입구","14216","192235","449898"
"2714","712","마들","7","상계주공9단지","11180","205155","462611"
"0338","348","일원","3","일원역","23388","207366","442862"
"4112","912","선유도","9","롯데제과","19212","190757","448613"
"0150","133","서울","1","서울역","02649","197558","450628"
"0426","426","서울","4","서울역","02649","197558","450628"
"2544","543","장한평","5","장한평역","06252","205781","451440"
"0154","129","종로5가","1","청계6가동대문시장","01213","200253","452259"
"2716","714","중계","7","중계건영2차아파트","11375","205772","460725"
"0204","204","을지로4가","2","청계4가세운교","01176","199691","452152"
"2536","535","을지로4가","5","청계4가세운교","01176","199691","452152"
"0153","130","종로3가","1","청계3가관수교","01251","199452","452133"
"0319","329","종로3가","3","청계3가관수교","01251","199452","452133"
"2535","534","종로3가","5","청계3가관수교","01251","199452","452133"
"0155","128","동대문","1","청계6가버들다리","01252","200711","452270"
"0421","421","동대문","4","청계6가버들다리","01252","200711","452270"
"0424","424","명동","4","명동입구","02150","198690","451276"
"0204","204","을지로4가","2","청계4가배오개다리","02226","199752","452110"
"2536","535","을지로4가","5","청계4가배오개다리","02226","199752","452110"
"0340","350","가락시장","3","제일오피스텔","24380","210596","443763"
"2818","817","가락시장","8","제일오피스텔","24380","210596","443763"
"2550","549","길동","5","천동초교입구사거리","25312","212428","448940"
"0157","125","제기동","1","제기동약령시장","06107","203137","453196"
"2811","810","암사","8","암사역선사현대아파트","25155","211278","450160"
"0248","234-2","양천구청","2","목동1213단지사잇길","15186","187919","446020"
"2511","510","방화","5","방화동삼익아파트","16311","183521","453047"
"0260","234-4","까치산","2","유림아파트","16188","186255","447903"
